mission,twitter,country,details,type
Victoria,hci_seychelles,Seychelles,High Commission of India in Victoria Seychelles,High Commission
Singapore,IndiainSingapor,Singapore,High Commission of India in Singapore Singapore,High Commission
Bratislava,IndiaInSlovakia,Slovakia,Embassy of India in Bratislava Slovakia,Embassy
Pretoria,hci_pretoria,South Africa,High Commission of India in Pretoria South Africa,High Commission
Cape Town,IndiainCapeTown,South Africa,High Commission of India in Cape Town South Africa,High Commission
Durban,CGIDurban,South Africa,Assistant High Commission of India in Durban South Africa,Assistant High Commission
Johannesburg,indiainjoburg,South Africa,Assistant High Commission of India in Johannesburg South Africa,Assistant High Commission
Juba,eoijuba,South Sudan,Embassy of India in Juba South Sudan,Embassy
Madrid,IndiainSpain,Spain,Embassy of India in Madrid Spain,Embassy
Colombo,IndiainSL,Sri Lanka,High Commission of India in Colombo Sri Lanka,High Commission
Hambantota,CgiHoc,Sri Lanka,Consulate General of India in Hambantota Sri Lanka,Consulate General
Jaffna,CGJaffna,Sri Lanka,Consulate General of India in Jaffna Sri Lanka,Consulate General
Kandy,AhciKandy,Sri Lanka,Assistant High Commission of India in Kandy Sri Lanka,Assistant High Commission
Khartoum,EoI_Khartoum,Sudan,Embassy of India in Khartoum Sudan,Embassy
Paramaribo,IndEmbSur,Suriname,Embassy of India in Paramaribo Suriname,Embassy
Stockholm,IndiainSweden,Sweden,Embassy of India in Stockholm Sweden,Embassy
Berne,IndoSwissVistas,Switzerland,Embassy of India in Berne Switzerland,Embassy
Geneva,,Switzerland,Consulate General of India in Geneva Switzerland,Consulate General
Geneva,IndiaUNGeneva,Switzerland,Permanent Mission of India in Geneva Switzerland,Permanent Mission
Geneva,CDMissionIndia,Switzerland,Permanent Mission of India in Geneva Switzerland,Permanent Mission
Damascus,,Syria,Embassy of India in Damascus Syria,Embassy
Dushanbe,,Tajikistan,Embassy of India in Dushanbe Tajikistan,Embassy
Dar es Salaam,IndiainTanzania,Tanzania,High Commission of India in Dar es Salaam Tanzania,High Commission
Zanzibar,cgizanzibar1,Tanzania,Consulate General of India in Zanzibar Tanzania,Consulate General
Bangkok,IndiainThailand,Thailand,Embassy of India in Bangkok Thailand,Embassy
Chiang Mai,,Thailand,Consulate General of India in Chiang Mai Thailand,Consulate General
Yala,,Thailand,Consulate General of India in Yala Thailand,Consulate General
Port of Spain,IndiainTandT,Trinidad and Tobago,High Commission of India in Port of Spain Trinidad and Tobago,High Commission
Tunis,IndiainTunisia,Tunisia,Embassy of India in Tunis Tunisia,Embassy
Ankara,IndianEmbassyTR,Turkey,Embassy of India in Ankara Turkey,Embassy
Istanbul,CGI_Istanbul,Turkey,Consulate General of India in Istanbul Turkey,Consulate General
Ashgabat,,Turkmenistan,Embassy of India in Ashgabat Turkmenistan,Embassy
Kampala,IndiainUganda,Uganda,High Commission of India in Kampala Uganda,High Commission
Kiev,IndiainUkraine,Ukraine,Embassy of India in Kiev Ukraine,Embassy
Abu Dhabi,IndembAbuDhabi,United Arab Emirates,Embassy of India in Abu Dhabi United Arab Emirates,Embassy
Dubai,cgidubai,United Arab Emirates,Consulate General of India in Dubai United Arab Emirates,Consulate General
London,HCI_London,United Kingdom,High Commission of India in London United Kingdom,High Commission
Birmingham,CGI_Bghm,United Kingdom,Assistant High Commission of India in Birmingham United Kingdom,Assistant High Commission
Edinburgh Scotland,IndiaInScotland,United Kingdom,Assistant High Commission of India in Edinburgh Scotland United Kingdom,Assistant High Commission
Cardiff Wales,,United Kingdom,Honary Consul of India in Cardiff Wales United Kingdom,Honary Consul
Belfast Northern Ireland,,United Kingdom,Honary Consul of India in Belfast Northern Ireland United Kingdom,Honary Consul
Washington DC,IndianEmbassyUS,United States,Embassy of India in Washington DC United States,Embassy
Atlanta GA,Ind_Cons_Atl,United States,Consulate General of India in Atlanta GA United States,Consulate General
Chicago IL,IndiainChicago,United States,Consulate General of India in Chicago IL United States,Consulate General
Houston TX,cgihou,United States,Consulate General of India in Houston TX United States,Consulate General
New York City,IndiainNewYork,United States,Consulate General of India in New York City United States,Consulate General
New York City,IndiaUNNewYork,United States,Permanent Mission of India in New York City United States,Permanent Mission
San Francisco,CGISFO,United States,Consulate General of India in San Francisco United States,Consulate General
